Date,price,trend_state,vol_state,regime,confidence
2001-05-15,125.9800033569336,DOWN,HIGH,RISK_OFF,0.7
2001-05-16,128.9499969482422,DOWN,HIGH,RISK_OFF,0.7349115316598146
2001-05-17,129.14999389648438,DOWN,HIGH,RISK_OFF,0.7430670329978712
2001-05-18,129.74000549316406,DOWN,HIGH,RISK_OFF,0.7243530992824601
2001-05-21,131.64999389648438,DOWN,MEDIUM,RISK_OFF,0.6679825112437665
2001-05-22,131.47999572753906,DOWN,MEDIUM,RISK_OFF,0.6861158628191133
2001-05-23,129.25,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.46576347123878686
2001-05-24,129.6300048828125,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.4532441319240932
2001-05-25,128.10000610351562,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.5620515499862294
2001-05-29,127.08000183105469,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6264896735980032
2001-05-30,125.30000305175781,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.633906347465723
2001-05-31,125.94999694824219,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6432349135065499
2001-06-01,126.7300033569336,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6575283283508052
2001-06-04,127.33999633789062,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6795512413934381
2001-06-05,128.8000030517578,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.5934096804055343
2001-06-06,127.7300033569336,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6502064765669966
2001-06-07,128.19000244140625,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6343766342906058
2001-06-08,127.0,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.6958816641620418
2001-06-11,126.0999984741211,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.7576071051369271
2001-06-12,125.87999725341797,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.7783567027460346
2001-06-13,124.80000305175781,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8037358356176093
2001-06-14,122.0,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8531717746761476
2001-06-15,121.8499984741211,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8714990268972055
2001-06-18,121.26000213623047,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8978683561384471
2001-06-19,121.79000091552734,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9698319268599789
2001-06-20,122.43000030517578,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9685715536640387
2001-06-21,123.81999969482422,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9692144948712349
